"PayPlus - Payment Gateway","פיי פלוס - סליקה"
"Complete Your Payment","השלימו את התשלום"
"Close","סגירה"
"Loading payment form...","טוען טופס תשלום..."
"Error processing your request","שגיאה בעיבוד הבקשה"
"Error.","שגיאה."
"Iframe (New Page)","Iframe (עמוד חדש)"
"Iframe (Pop-up)","Iframe (חלון קופץ)"
"Iframe (Same Page)","Iframe (אותו עמוד)"
"Iframe (Next Page)","Iframe (עמוד הבא)"
"Redirect","הפניה"
"API configuration","הגדרות API"
"Sandbox mode","מצב Sandbox"
"Payment Page UID","מזהה UID של דף התשלום"
"api_key__","מפתח API"
"api_secret__","מפתח סודי"
"Display settings","אפשרויות תצוגה"
"Payment form","תצוגת דף סליקה"
"Iframe height","גובה ה-Iframe"
"Payment page"," דף התשלום"
"Use Callback","שימוש ב-callback"
"Hide the Payplus logo in cart","הסתר אייקון של פיי פלוס בסל קניות"
"Send Add Data parameter","שלח פרמטר Add Data בעת יצירת התשלום"
"Hide ID card number on payment page","הסתר שדה ת.ז בדף הסליקה"
"PayPlus default configuration","הגדרות ברירת מחדל בדף תשלום"
"Hide","הסתר"
"Hide payments field","הסתר שדה תשלומים בדף הבליקה"
"Order configuration","אפשרויות תשלום"
"Charge Method","סוג עסקה"
"Charge","תשלום"
"Authorize","אישור ללא תשלום"
"Send email notification from the Payplus system upon successful transaction","שלח אימייל על עסקה מוצלחת ללקוח שלך באמצעות פיי פלוס"
"Send email notification from the Payplus system upon failed transaction","שלח אימייל על עסקה שנכשלה ללקוח שלך באמצעות פיי פלוס"
"Saved credit card","כרטיס אשראי שמור"
"Card","כרטיס"
"Enable Credit card vault storage","שמירת כרטיסי אשראי"
"Save credit card for later use.","שמור/י כרטיס אשראי לשימוש עתידי"
"Credit card token unavailable","לא ניתן להשתמש בכרטיס זה",
"Currency conversion rounding", "עיגול המרת מטבע",
"Last four digits", "4 ספרות אחרונות",
"Approval number", "מספר אישור",
"Status description", "סטטוס",
"Expiry", "תוקף כרטיס",
"Subsequent payments","תשלומים נוספים"
"Token","טוקן"
"More info","מידע נוסף"
"Alternative name","שם חלופי"
"Identification card number","מספר תעודת זהות"
"Brand name","שם מותג"
"Url Invoice","קישור חשבונית"
"Checkout page response","מענה מעמוד התשלום"
"Amount %1","סכום %1"
"Amount charged","סכום שחויב"
"Capture response","מענה לכידה"
"Amount refunded","סכום שהוחזר"
"Refund Response","מענה החזר"
"authorized","מורשה"
"charged","חויב"
"Display payment information in Hebrew","הצג מידע תשלום בעברית"
"When enabled, payment details will be displayed in Hebrew regardless of locale","כאשר מופעל, פרטי התשלום יוצגו בעברית בלי קשר לשפת האתר"